generation,best_fitness,avg_fitness,best_value,best_individual
368,0.23,0.23,697,101101111100000000000100100010
369,0.23,0.23,697,101101111100000000000100100010
370,0.23,0.23,697,101101111100000000000100100010
371,0.23,0.23,697,101101111100000000000100100010
372,0.23,0.22,697,101101111100000000000100100010
373,0.23,0.22,697,101101111100000000000100100010
374,0.23,0.23,697,101101111100000000000100100010
375,0.23,0.23,697,101101111100000000000100100010
376,0.23,0.23,697,101101111100000000000100100010
377,0.23,0.23,697,101101111100000000000100100010
378,0.23,0.23,697,101101111100000000000100100010
379,0.23,0.23,697,101101111100000000000100100010
380,0.23,0.23,697,101101111100000000000100100010
381,0.23,0.23,697,101101111100000000000100100010
382,0.23,0.23,697,101101111100000000000100100010
383,0.23,0.23,697,101101111100000000000100100010
384,0.23,0.23,697,101101111100000000000100100010
385,0.23,0.23,697,101101111100000000000100100010
386,0.23,0.22,697,101101111100000000000100100010
387,0.23,0.23,697,101101111100000000000100100010
388,0.23,0.23,697,101101111100000000000100100010
389,0.23,0.23,697,101101111100000000000100100010
390,0.23,0.23,697,101101111100000000000100100010
391,0.23,0.23,697,101101111100000000000100100010
392,0.23,0.23,697,101101111100000000000100100010
393,0.23,0.23,697,101101111100000000000100100010
394,0.23,0.23,697,101101111100000000000100100010
395,0.23,0.23,697,101101111100000000000100100010
396,0.23,0.23,697,101101111100000000000100100010
397,0.23,0.23,697,101101111100000000000100100010
398,0.23,0.22,697,101101111100000000000100100010
399,0.23,0.23,697,101101111100000000000100100010
400,0.23,0.23,697,101101111100000000000100100010
401,0.23,0.23,697,101101111100000000000100100010
402,0.23,0.23,697,101101111100000000000100100010
403,0.23,0.23,697,101101111100000000000100100010
404,0.23,0.23,697,101101111100000000000100100010
405,0.23,0.23,697,101101111100000000000100100010
406,0.23,0.23,697,101101111100000000000100100010
407,0.23,0.23,697,101101111100000000000100100010
408,0.23,0.23,697,101101111100000000000100100010
409,0.23,0.23,697,101101111100000000000100100010
410,0.23,0.23,697,101101111100000000000100100010
411,0.23,0.23,697,101101111100000000000100100010
412,0.23,0.23,697,101101111100000000000100100010
413,0.23,0.23,697,101101111100000000000100100010
414,0.23,0.23,697,101101111100000000000100100010
415,0.23,0.22,697,101101111100000000000100100010
416,0.23,0.23,697,101101111100000000000100100010
417,0.23,0.22,697,101101111100000000000100100010
418,0.23,0.23,697,101101111100000000000100100010
419,0.23,0.23,697,101101111100000000000100100010
420,0.23,0.23,697,101101111100000000000100100010
421,0.23,0.23,697,101101111100000000000100100010
422,0.23,0.23,697,101101111100000000000100100010
423,0.23,0.23,697,101101111100000000000100100010
424,0.23,0.23,697,101101111100000000000100100010
425,0.23,0.23,697,101101111100000000000100100010
426,0.23,0.23,697,101101111100000000000100100010
427,0.23,0.23,697,101101111100000000000100100010
428,0.23,0.23,697,101101111100000000000100100010
429,0.23,0.22,697,101101111100000000000100100010
430,0.23,0.22,697,101101111100000000000100100010
431,0.23,0.23,697,101101111100000000000100100010
432,0.23,0.23,697,101101111100000000000100100010
433,0.23,0.23,697,101101111100000000000100100010
434,0.23,0.23,697,101101111100000000000100100010
435,0.23,0.23,697,101101111100000000000100100010
436,0.23,0.23,697,101101111100000000000100100010
437,0.23,0.23,697,101101111100000000000100100010
438,0.23,0.23,697,101101111100000000000100100010
439,0.23,0.23,697,101101111100000000000100100010
440,0.23,0.23,697,101101111100000000000100100010
441,0.23,0.23,697,101101111100000000000100100010
442,0.23,0.23,697,101101111100000000000100100010
443,0.23,0.23,697,101101111100000000000100100010
444,0.23,0.22,697,101101111100000000000100100010
445,0.23,0.23,697,101101111100000000000100100010
446,0.23,0.22,697,101101111100000000000100100010
447,0.23,0.23,697,101101111100000000000100100010
448,0.23,0.23,697,101101111100000000000100100010
449,0.23,0.23,697,101101111100000000000100100010
450,0.23,0.23,697,101101111100000000000100100010
451,0.23,0.23,697,101101111100000000000100100010
452,0.23,0.23,697,101101111100000000000100100010
453,0.23,0.23,697,101101111100000000000100100010
454,0.23,0.23,697,101101111100000000000100100010
455,0.23,0.23,697,101101111100000000000100100010
456,0.23,0.23,697,101101111100000000000100100010
457,0.23,0.23,697,101101111100000000000100100010
458,0.23,0.22,697,101101111100000000000100100010
459,0.23,0.23,697,101101111100000000000100100010
460,0.23,0.23,697,101101111100000000000100100010
